,0,1,2,3,4,5,6
0,-25.71666698363473,89.85178585689619,-204.200487570579,362.6267736379518,-309.94600534250196,-61.51291108633473,534.3408597691771
1,502.67028147564196,-733.831046517811,-46.76219275551433,-43.83281282656736,72.89437905453612,-474.154279994158,823.2109055160504
2,234.47220850028182,-467.35508450647114,247.87832539369677,215.1146976235438,-366.8559897805178,-16.115103546118185,-173.8981848559146
3,98.678792528586,-181.26375324725598,-223.99448170238702,179.77565641427103,-92.78229246823724,-32.074352054113994,743.7884949159497
4,126.41405944140958,-242.21469775528433,-30.83675353718485,-30.20548404287874,49.54400318025142,-24.68610915859041,883.8175375225364
5,647.7063157533007,-1144.8766378146915,-132.1313205346575,-200.88095657704923,293.3167603508877,-284.1507361886993,1030.848768243745
6,608.088450322291,-1431.6285082575994,890.4066412693506,-327.5913493439395,-70.07062930929021,318.240163177591,-319.38668033894083
7,398.3015285772611,-526.373837078298,399.44535086021085,362.6267736379518,-609.2920717605717,-466.0417931374389,-600.728881448283
8,725.0746794548884,-1497.2754709623568,780.1514544165464,217.43763622680123,-633.4427007188056,35.49741568458836,-501.3463789707518
9,479.5782446255764,-885.5636231068629,564.4665019307647,-171.87154616757448,-85.01974277273037,-148.3007413178236,248.5668469388049
