,Norwich Converter,Norway Converter,Bremen Converter
0,566.8272612085309,-672.5727789804538,105.74551777192289
1,2.9293799289469575,116.72719188110352,-119.65657181005042
2,-32.763627770152965,-581.9706874040614,614.7343151742145
3,403.770138116658,-272.5579488825081,-131.21218923414972
4,0.6312694943061103,79.74948722313036,-80.38075671743638
5,-68.74963604239224,494.19771692793694,-425.4480808855451
6,-1217.9979906132903,257.5207200346494,960.4772705786409
7,-36.81857722225914,-971.9188453985237,1008.737422620783
8,-562.7138181897451,-850.8803369456064,1413.594155135352
9,-736.3380480983393,86.85180339484384,649.4862447034951
