,London,Norwich,Norwich DC,Manchester,Bremen,Bremen DC,Frankfurt,Norway,Norway DC
0,-35.7962441027,151.3646969432309,-566.8272612085309,-115.56845284053088,-534.3408597691771,-105.74551777192289,534.3408597691771,1.1368683772161603e-13,672.5727789804538
1,-976.8245614698,-259.67676652365304,-2.9293799289469575,1236.5013279934528,-823.2109055160504,119.65657181005042,823.2109055160504,0.0,-116.72719188110352
2,-250.5873120464,-451.2399809603529,32.763627770152965,701.8272930067529,173.89818485591456,-614.7343151742145,-173.8981848559146,0.0,581.9706874040614
3,-130.7531445827,-149.18940119314198,-403.770138116658,279.94254577584195,-743.7884949159497,131.21218923414972,743.7884949159497,0.0,272.5579488825081
4,-151.1001686,-217.52858859669388,-0.6312694943061103,368.62875719669387,-883.8175375225364,80.38075671743638,883.8175375225364,0.0,-79.74948722313036
5,-931.857051942,-860.7259016259923,68.74963604239224,1792.5829535679918,-1030.848768243745,425.4480808855451,1030.8487682437449,0.0,-494.19771692793694
6,-289.8482871447,-1749.8686714351902,1217.9979906132903,2039.7169585798902,319.3866803389409,-960.4772705786409,-319.38668033894083,0.0,-257.5207200346494
7,-864.3433217147,-60.33204394085914,36.81857722225914,924.6753656555592,600.7288814482831,-1008.737422620783,-600.728881448283,0.0,971.9188453985237
8,-689.5772637703,-1532.7728866469452,562.7138181897451,2222.350150417245,501.34637897075186,-1413.594155135352,-501.3463789707518,0.0,850.8803369456064
9,-627.8789859434,-737.2628817890393,736.3380480983393,1365.141867732439,-248.56684693880493,-649.4862447034951,248.56684693880493,0.0,-86.85180339484384
