,London,Norwich,Norwich DC,Manchester,Bremen,Bremen DC,Frankfurt,Norway DC
0,1.3397389071176822e-05,0.00011512387431589872,-0.001830915600634732,-0.00012852126338707556,-0.0007400842933091095,-0.000745568605412499,0.0007400842933091095,0.0025764842060472305
1,-0.0011860462529502914,-0.0004019174007187674,9.473405362231102e-05,0.001587963653669059,-0.0011401813095790172,0.0003432800096140088,0.001140181309579017,-0.00043801406323631963
2,-0.0004401987605902878,-0.0004135485368543226,-0.00043234164087224296,0.0008537472974446105,0.00024085621171179305,-0.0017498409223261147,-0.00024085621171179302,0.0021821825631983564
3,-0.00019920210775012953,-0.00014615940430227266,-0.0011251881108714553,0.00034536151205240225,-0.0010301779707977143,6.536603791831677e-05,0.0010301779707977143,0.0010598220729531383
4,-0.00024614882265640113,-0.00020532436686782087,6.773990261392725e-05,0.00045147318952422203,-0.0012241240131891087,0.0002316404798954788,0.0012241240131891085,-0.0002993803825094059
5,-0.001348103394737728,-0.0008781913850198518,0.0005797447208398509,0.00222629477975758,-0.0014277683770688992,0.0012820365391562475,0.001427768377068899,-0.0018617812599960974
6,-0.0009431593228687162,-0.001469446450108171,0.0029047268678119584,0.0024126057729768873,0.0004423638231841287,-0.0018278777607327627,-0.00044236382318412864,-0.0010768491070791964
7,-0.0009895862870762597,-0.00021887339516841098,-0.0007614352993322921,0.0012084596822446707,0.0008320344618397273,-0.00288452920801738,-0.0008320344618397273,0.0036459645073496708
8,-0.0013142185365131748,-0.001372922104090978,0.0005012764453652353,0.0026871406406041532,0.0006943855664414846,-0.0036453103083837852,-0.0006943855664414845,0.0031440338630185478
9,-0.0009639421889124641,-0.0007186910228235238,0.0016963805035088157,0.0016826332117359881,-0.000344275411272583,-0.0013038181202207652,0.000344275411272583,-0.00039256238328805093
