,London,Norwich,Norwich DC,Manchester,Bremen,Bremen DC,Frankfurt,Norway,Norway DC
0,0.11,0.11,0.11,0.11,0.10336990586935166,0.10336990586935166,0.10336990586935166,0.09,0.09
1,1421.9447875117319,1421.9265913323547,1421.9265913323547,1421.932586506946,1421.9265913323545,1421.9265913323545,1421.9265913323545,1421.9265913323543,1421.9265913323543
2,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11
3,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11
4,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11
5,1593.573440588291,1593.573440588291,1593.573440588291,1593.573440588291,1593.573440588291,1593.573440588291,1593.373440588291,1593.573440588291,1593.573440588291
6,0.11,0.11000000000000001,0.3433333333333333,0.11,0.3503712676641977,0.3503712676641977,0.3503712676641977,0.3470732223396973,0.3470732223396973
7,1007.0899544696111,1007.0899544696111,1007.0899544696111,1007.0899544696111,1007.0722361188703,1007.0722361188703,1007.0722361188703,1006.8142839843878,1007.0365062066099
8,0.24491563767625932,0.2443761968087841,0.2443761968087841,0.11,0.4672592958416346,0.2561481847305235,0.4672592958416346,0.21745709552007117,0.21745709552007117
9,1490.6964875806916,1490.6964875806916,1490.6964875806916,1490.6964875806916,1490.6964875806912,1490.6964875806912,1490.6964875806912,1490.6964875806912,1490.6964875806912
