,Manchester Wind,Norway Wind,Frankfurt Wind,Frankfurt Gas
0,741.9829873605692,1492.608614916454,932.3887067329771,-0.0
1,1987.1009517100529,738.1068549806964,1255.6470117585504,-0.0
2,858.392169020853,624.5214317550615,205.9057434102854,-0.0
3,807.813367894742,920.1061816676081,1612.1502591994497,-0.0
4,452.5265161600939,804.3243861074696,1432.5882921446364,-0.0
5,2469.2062729153918,14.864731623663085,877.4795281239933,982.0344827209516
6,2770.8540590625903,338.08724478005064,129.90407156855917,-0.0
7,1478.0202548402592,1263.5612950969237,98.43488492511703,-0.0
8,2520.688232679245,853.0338294947063,414.52040128104824,-0.0
9,2133.432453721239,673.8883731089561,180.2145889798231,483.2399043623818
